ANC_ID,pop_2000,pop_2010,pop_diff,pop_diff_perc
1A,21876,22457,581,0.027000000000000003
1B,21640,25111,"3,471",0.16
1C,16437,16435,-2,0.0
1D,11794,10459,"-1,335",-0.113
2A,12744,17213,"4,470",0.35100000000000003
2B,17867,18117,249,0.013999999999999999
2C,8157,9103,946,0.11599999999999999
2D,2570,2708,138,0.054000000000000006
2E,15019,16466,"1,447",0.096
2F,12483,16282,"3,799",0.304
3B,9650,10257,607,0.063
3C,18016,18802,786,0.044000000000000004
3D,18429,17685,-744,-0.04
3E,9301,11450,"2,149",0.231
3F,13653,14441,788,0.057999999999999996
3G,14940,14215,-725,-0.049
4A,16067,16350,283,0.018000000000000002
4B,18538,18667,129,0.006999999999999999
4C,19579,20330,751,0.038
4D,12341,12463,122,0.01
5A,23953,24607,654,0.027000000000000003
5B,23757,24104,347,0.015
5C,23730,25597,"1,867",0.079
6A,16189,16788,599,0.037000000000000005
6B,21364,23847,"2,483",0.11599999999999999
6C,16901,21630,"4,729",0.28
6D,13610,14359,749,0.055
7A,15526,14985,-541,-0.035
7B,14421,13963,-458,-0.032
7C,13933,14323,390,0.027999999999999997
7D,12815,14063,"1,248",0.09699999999999999
7E,13832,13735,-97,-0.006999999999999999
8A,14025,13801,-224,-0.016
8B,14176,17537,"3,361",0.237
8C,14508,12808,"-1,700",-0.11699999999999999
8D,13870,14602,732,0.053
8E,14348,11964,"-2,384",-0.166
